STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DRE,D,15,STORAGE,20221015 0000,20221016 0000,1216, ,AF
DRE,D,15,STORAGE,20221016 0000,20221017 0000,1194, ,AF
DRE,D,15,STORAGE,20221017 0000,20221018 0000,1123, ,AF
DRE,D,15,STORAGE,20221018 0000,20221019 0000,1237, ,AF
DRE,D,15,STORAGE,20221019 0000,20221020 0000,1219, ,AF
DRE,D,15,STORAGE,20221020 0000,20221021 0000,1195, ,AF
DRE,D,15,STORAGE,20221021 0000,20221022 0000,1212, ,AF
DRE,D,15,STORAGE,20221022 0000,20221023 0000,1218, ,AF
DRE,D,15,STORAGE,20221023 0000,20221024 0000,1226, ,AF
DRE,D,15,STORAGE,20221024 0000,20221025 0000,1256, ,AF
DRE,D,15,STORAGE,20221025 0000,20221026 0000,1272, ,AF
DRE,D,15,STORAGE,20221026 0000,20221027 0000,1291, ,AF
DRE,D,15,STORAGE,20221027 0000,20221028 0000,1298, ,AF
DRE,D,15,STORAGE,20221028 0000,20221029 0000,1331, ,AF
DRE,D,15,STORAGE,20221029 0000,20221030 0000,1340, ,AF
DRE,D,15,STORAGE,20221030 0000,20221031 0000,1358, ,AF
DRE,D,15,STORAGE,20221031 0000,20221101 0000,1365, ,AF
DRE,D,15,STORAGE,20221101 0000,20221102 0000,1430, ,AF
DRE,D,15,STORAGE,20221102 0000,20221103 0000,1461, ,AF
DRE,D,15,STORAGE,20221103 0000,20221104 0000,1473, ,AF
DRE,D,15,STORAGE,20221104 0000,20221105 0000,1507, ,AF
DRE,D,15,STORAGE,20221105 0000,20221106 0000,1500, ,AF
DRE,D,15,STORAGE,20221106 0000,20221107 0000,1496, ,AF
DRE,D,15,STORAGE,20221107 0000,20221108 0000,1561, ,AF
DRE,D,15,STORAGE,20221108 0000,20221109 0000,1547, ,AF
DRE,D,15,STORAGE,20221109 0000,20221110 0000,1543, ,AF
DRE,D,15,STORAGE,20221110 0000,20221111 0000,1571, ,AF
DRE,D,15,STORAGE,20221111 0000,20221112 0000,1586, ,AF
