month,day,avg,wmonth,norm,avgAvgSwc
10,1,0.0,1,0.0,-0.01
10,2,0.0,1,0.0,-0.01
10,3,0.0,1,0.0,-0.01
10,4,0.0,1,0.0,-0.01
10,5,0.001,1,0.0,-0.01
10,6,0.002,1,0.0,-0.01
10,7,0.002,1,0.0,-0.01
10,8,0.002,1,0.0,-0.01
10,9,0.002,1,0.0,-0.01
10,10,0.002,1,0.0,0.0
10,11,0.002,1,0.0,0.0
10,12,0.002,1,0.0,0.0
10,13,0.002,1,0.0,0.0
10,14,0.004,1,0.67,0.19
10,15,0.003,1,0.54,0.16
10,16,0.003,1,0.5,0.13
10,17,0.003,1,0.42,0.11
10,18,0.003,1,0.54,0.15
10,19,0.003,1,0.5,0.15
10,20,0.005,1,1.28,0.36
10,21,0.006,1,1.63,0.48
10,22,0.006,1,1.53,0.43
10,23,0.008,1,1.89,0.53
10,24,0.008,1,2.16,0.64
10,25,0.009,1,2.5,0.73
10,26,0.01,1,3.03,0.87
10,27,0.012,1,3.53,1.01
10,28,0.012,1,3.44,1.0
10,29,0.013,1,3.34,0.98
10,30,0.016,1,3.25,0.94
10,31,0.018,1,2.48,0.72
11,1,0.019,2,1.95,0.55
11,2,0.019,2,2.65,0.76
11,3,0.02,2,2.66,0.76
11,4,0.022,2,3.11,0.88
11,5,0.023,2,3.02,0.85
11,6,0.023,2,3.32,0.94
11,7,0.024,2,3.34,0.94
11,8,0.027,2,3.52,1.0
11,9,0.032,2,4.2,1.17
11,10,0.035,2,4.57,1.29
11,11,0.037,2,4.61,1.29
11,12,0.038,2,4.75,1.35
11,13,0.039,2,4.91,1.36
11,14,0.04,2,4.84,1.38
11,15,0.04,2,4.84,1.38
11,16,0.044,2,5.02,1.41
11,17,0.047,2,5.68,1.6
11,18,0.052,2,4.94,1.39
11,19,0.054,2,5.06,1.41
11,20,0.057,2,5.71,1.58
11,21,0.062,2,6.17,1.74
11,22,0.065,2,6.42,1.81
11,23,0.07,2,6.43,1.82
11,24,0.073,2,7.05,1.97
11,25,0.077,2,6.88,1.9
11,26,0.08,2,7.29,2.04
11,27,0.086,2,7.72,2.15
11,28,0.094,2,8.64,2.43
11,29,0.1,2,9.24,2.59
11,30,0.107,2,9.29,2.59
12,1,0.113,3,9.36,2.62
12,2,0.121,3,10.2,2.86
12,3,0.129,3,10.59,2.98
12,4,0.134,3,11.08,3.09
12,5,0.137,3,11.36,3.16
12,6,0.143,3,11.77,3.27
12,7,0.152,3,12.52,3.47
12,8,0.161,3,13.15,3.66
12,9,0.167,3,13.42,3.76
12,10,0.171,3,13.81,3.86
12,11,0.179,3,14.68,4.11
12,12,0.188,3,15.32,4.28
12,13,0.197,3,16.59,4.65
12,14,0.206,3,17.3,4.84
12,15,0.214,3,18.08,5.05
12,16,0.222,3,18.8,5.26
12,17,0.228,3,19.23,5.38
12,18,0.236,3,20.05,5.6
12,19,0.246,3,21.06,5.88
12,20,0.256,3,22.77,6.37
12,21,0.264,3,23.37,6.57
12,22,0.275,3,24.33,6.84
12,23,0.283,3,25.02,7.04
12,24,0.29,3,25.99,7.3
12,25,0.297,3,26.98,7.6
12,26,0.304,3,28.1,7.89
12,27,0.31,3,28.96,8.14
12,28,0.315,3,29.78,8.38
12,29,0.326,3,30.75,8.63
12,30,0.338,3,31.88,8.93
12,31,0.346,3,32.79,9.21
1,1,0.352,4,33.79,9.47
1,2,0.361,4,34.75,9.74
1,3,0.368,4,35.52,9.95
1,4,0.375,4,36.25,10.15
1,5,0.39,4,37.78,10.58
1,6,0.398,4,38.73,10.85
1,7,0.407,4,39.47,11.06
1,8,0.417,4,40.38,11.32
1,9,0.428,4,41.54,11.62
1,10,0.438,4,42.74,11.94
1,11,0.451,4,44.04,12.31
1,12,0.458,4,44.48,12.44
1,13,0.464,4,44.85,12.53
1,14,0.47,4,45.47,12.7
1,15,0.477,4,46.3,12.92
1,16,0.485,4,46.72,13.03
1,17,0.494,4,47.4,13.23
1,18,0.501,4,48.22,13.47
1,19,0.515,4,49.17,13.75
1,20,0.524,4,48.0,13.4
1,21,0.538,4,49.11,13.7
1,22,0.547,4,51.1,14.28
1,23,0.56,4,52.03,14.54
1,24,0.571,4,52.66,14.68
1,25,0.583,4,53.18,14.83
1,26,0.592,4,53.5,14.92
1,27,0.599,4,54.0,15.05
1,28,0.607,4,54.79,15.28
1,29,0.611,4,54.32,15.14
1,30,0.615,4,54.69,15.23
1,31,0.62,4,56.12,15.63
2,1,0.625,5,56.71,15.8
2,2,0.627,5,57.08,15.92
2,3,0.638,5,58.12,16.21
2,4,0.645,5,58.83,16.39
2,5,0.65,5,60.01,16.7
2,6,0.655,5,60.61,16.87
2,7,0.667,5,61.49,17.1
2,8,0.677,5,62.0,17.25
2,9,0.685,5,62.48,17.38
2,10,0.694,5,62.89,17.51
2,11,0.704,5,63.78,17.78
2,12,0.71,5,64.13,17.86
2,13,0.715,5,64.43,17.96
2,14,0.725,5,64.89,18.1
2,15,0.732,5,65.36,18.24
2,16,0.74,5,66.18,18.46
2,17,0.751,5,66.89,18.67
2,18,0.763,5,67.85,18.92
2,19,0.773,5,67.25,18.73
2,20,0.786,5,69.4,19.35
2,21,0.798,5,70.2,19.58
2,22,0.81,5,70.88,19.77
2,23,0.82,5,71.78,20.03
2,24,0.83,5,72.76,20.31
2,25,0.839,5,73.49,20.52
2,26,0.85,5,74.8,20.87
2,27,0.862,5,76.23,21.28
2,28,0.872,5,77.34,21.57
2,29,0.875,5,70.0,19.55
3,1,0.878,6,78.4,21.86
3,2,0.887,6,79.74,22.22
3,3,0.898,6,80.97,22.56
3,4,0.908,6,81.86,22.8
3,5,0.917,6,82.25,22.93
3,6,0.928,6,83.28,23.21
3,7,0.937,6,84.11,23.43
3,8,0.941,6,84.44,23.53
3,9,0.944,6,84.63,23.59
3,10,0.948,6,85.18,23.74
3,11,0.951,6,85.5,23.83
3,12,0.953,6,85.75,23.89
3,13,0.956,6,86.09,23.97
3,14,0.958,6,86.42,24.06
3,15,0.962,6,87.11,24.26
3,16,0.966,6,87.64,24.41
3,17,0.97,6,88.0,24.51
3,18,0.97,6,87.95,24.51
3,19,0.969,6,87.9,24.48
3,20,0.97,6,88.23,24.55
3,21,0.975,6,88.69,24.69
3,22,0.978,6,89.15,24.85
3,23,0.984,6,89.86,24.98
3,24,0.989,6,90.13,25.06
3,25,0.995,6,90.52,25.17
3,26,0.999,6,90.7,25.22
3,27,1.002,6,90.91,25.25
3,28,1.004,6,91.26,25.37
3,29,1.005,6,91.74,25.49
3,30,1.003,6,91.95,25.53
3,31,1.0,6,91.78,25.51
4,1,1.0,7,91.9,25.5
4,2,0.994,7,91.4,25.36
4,3,0.99,7,91.02,25.26
4,4,0.986,7,90.7,25.18
4,5,0.984,7,90.69,25.13
4,6,0.981,7,90.45,25.08
4,7,0.977,7,89.99,24.94
4,8,0.973,7,89.67,24.86
4,9,0.969,7,89.34,24.75
4,10,0.963,7,88.67,24.54
4,11,0.956,7,87.91,24.34
4,12,0.953,7,87.36,24.19
4,13,0.949,7,86.98,24.07
4,14,0.944,7,86.67,24.01
4,15,0.937,7,86.27,23.89
4,16,0.93,7,85.91,23.79
4,17,0.926,7,85.53,23.68
4,18,0.921,7,84.52,23.4
4,19,0.911,7,83.57,23.08
4,20,0.901,7,82.27,22.75
4,21,0.892,7,81.35,22.49
4,22,0.88,7,80.39,22.23
4,23,0.871,7,79.39,21.94
4,24,0.858,7,78.06,21.59
4,25,0.848,7,76.92,21.27
4,26,0.835,7,75.97,21.03
4,27,0.818,7,74.47,20.6
4,28,0.801,7,73.11,20.23
4,29,0.785,7,71.57,19.79
4,30,0.77,7,69.95,19.32
5,1,0.756,8,68.08,18.78
5,2,0.736,8,66.43,18.34
5,3,0.72,8,64.91,17.89
5,4,0.703,8,63.3,17.43
5,5,0.685,8,61.75,17.02
5,6,0.666,8,60.17,16.57
5,7,0.649,8,58.82,16.2
5,8,0.632,8,57.41,15.76
5,9,0.615,8,55.99,15.35
5,10,0.598,8,54.72,15.01
5,11,0.582,8,53.44,14.66
5,12,0.565,8,51.9,14.23
5,13,0.548,8,50.1,13.74
5,14,0.532,8,48.15,13.18
5,15,0.514,8,46.31,12.7
5,16,0.5,8,44.61,12.2
5,17,0.487,8,43.16,11.82
