reporting_month,hydro_region,total_pop,total_gallons,region_pop_weighted_rgpcd
2025-10-01,Central Coast,1195641.0,3782251695.2268004,64.91478247168324
2025-10-01,Colorado River,638959.0,5249560181.82132,171.45524408767116
2025-10-01,North Coast,401330.0,1083855862.4189,62.7836721761305
2025-10-01,North Lahontan,51691.0,135667526.7,51.84265870205146
2025-10-01,Sacramento River,2873299.0,12915522194.695032,115.78842941820443
2025-10-01,San Francisco Bay,6377480.0,24877958469.291718,66.09026640128124
2025-10-01,San Joaquin River,1275612.0,5952885614.359534,103.3217950295939
2025-10-01,South Coast,19450112.0,75168267639.64185,82.22576200005483
2025-10-01,South Lahontan,855515.0,3721104391.6125307,109.34530698773592
2025-10-01,Tulare Lake,1767027.0,10086640246.464165,108.62011412116291
